name,antigen,block,round,arm,condition,total,merged,low_quality,too_many_N,too_short,too_long,reads_no_cdr3_edges,seqs_no_cdr3_edges,reads_with_short_cdr3,seqs_with_short_cdr3,reads_with_low_frequency,seqs_with_low_frequency,reads_ambiguous,seqs_ambiguous,unique_dna,unique_dna_pct,merged_pct,unique_cdr3,total_cdr3,shannon,evenness,unique_cdr3_min2,total_cdr3_min2,shannon_min2,evenness_min2,VH_UNK,VL_UNK,n_cross_target_clones,n_cross_target_reads,pct_cross_target_reads
GAS1_Human__Block164__Round3__M_P__100nM,GAS1_Human,Block164,Round3,M_P,100nM,271042,252054,18243,18,2,0,1504,1426,0,0,0,0,6,6,81604,30.11,92.99,6466,250544,4.998620282040275,0.5696879409025633,2276,246354,4.8553383726865915,0.6281020159689596,1173,819,247,108329,43.24
GAS1_Human__Block164__Round4__F_P__20nM,GAS1_Human,Block164,Round4,F_P,20nM,218845,206508,11638,20,0,0,1135,1036,0,0,0,0,6,6,47057,21.5,94.36,2977,205367,3.358579786516655,0.41989220895933127,1087,203477,3.26690806241486,0.4672901451589634,656,396,182,163423,79.58
GAS1_Human__Block164__Round5__F_P__4nM,GAS1_Human,Block164,Round5,F_P,4nM,191113,180818,9753,15,0,0,1045,972,0,0,0,0,4,3,34980,18.3,94.61,2026,179769,2.4967211984779643,0.3279197078148859,737,178480,2.4201733685826303,0.3665492089011981,471,282,165,162206,90.23
hCNTN1_37-994__Block163__Round3__M_P__100nM,hCNTN1_37-994,Block163,Round3,M_P,100nM,184206,169535,14171,12,2,0,1115,1068,0,0,0,0,2,2,104466,56.71,92.04,19483,168418,7.875636400649317,0.7973472850520933,8900,157835,7.53190132331657,0.8282451663301345,2448,1715,1159,33644,19.98
hCNTN1_37-994__Block163__Round4__F_P__20nM,hCNTN1_37-994,Block163,Round4,F_P,20nM,242874,225622,16411,15,0,0,1614,1485,0,0,0,0,2,2,78295,32.24,92.9,6585,224006,5.393209290529772,0.6133840043203843,2714,220135,5.253982217300918,0.6645412813655184,1275,597,387,121120,54.07
hCNTN1_37-994__Block163__Round5__F_P__4nM,hCNTN1_37-994,Block163,Round5,F_P,4nM,250805,230902,19057,22,0,0,1713,1568,0,0,0,0,5,5,64249,25.62,92.06,4845,229184,4.564019416869579,0.5378481514979455,1788,226127,4.445437095265925,0.5936072081456083,1110,447,403,150347,65.6
hCNTN2_33-1003__Block163__Round3__M_P__100nM,hCNTN2_33-1003,Block163,Round3,M_P,100nM,218661,204125,13988,13,2,0,1275,1184,0,0,0,0,3,3,96548,44.15,93.35,9663,202847,6.61743157089187,0.7211626750681438,4556,197740,6.447230596639542,0.7653225645451244,1436,874,366,79483,39.18
hCNTN2_33-1003__Block163__Round4__F_P__20nM,hCNTN2_33-1003,Block163,Round4,F_P,20nM,311336,290834,19436,20,0,0,1656,1531,0,0,0,0,8,8,88225,28.34,93.41,6171,289170,4.8536929781105345,0.5561304345815354,2514,285513,4.742070192189452,0.6056569667401814,1233,650,423,210547,72.81
hCNTN2_33-1003__Block163__Round5__F_P__4nM,hCNTN2_33-1003,Block163,Round5,F_P,4nM,318827,297529,20433,22,0,0,1712,1539,0,0,0,0,3,3,60027,18.83,93.32,3901,295814,3.065555696498972,0.37072923782556333,1332,293245,2.973327894947919,0.4132815335634187,985,531,354,268504,90.77
hCNTN2_600-909__Block163__Round3__M_P__100nM,hCNTN2_600-909,Block163,Round3,M_P,100nM,141302,131309,9565,9,1,0,863,808,0,0,0,0,0,0,67648,47.87,92.93,14017,130446,6.605593684609529,0.6918281931295307,6596,123025,6.2349737175791065,0.7089855212663875,1495,1352,228,33751,25.87
